QUARTER_END,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,ADJCLOSE,VOLUME,UNADJUSTEDVOLUME,CHANGE,CHANGEPERCENT,VWAP,CHANGEOVERTIME,SMA_5D,SMA_10D,SMA_15D,SMA_20D,EMA_5D,EMA_10D,EMA_15D,EMA_20D,WMA_5D,WMA_10D,WMA_15D,WMA_20D,DEMA_5D,DEMA_10D,DEMA_15D,DEMA_20D,TEMA_5D,TEMA_10D,TEMA_15D,TEMA_20D,WILLIAMS_5D,WILLIAMS_10D,WILLIAMS_15D,WILLIAMS_20D,RSI_5D,RSI_10D,RSI_15D,RSI_20D,ADX_5D,ADX_10D,ADX_15D,ADX_20D,STANDARDDEVIATION_5D,STANDARDDEVIATION_10D,STANDARDDEVIATION_15D,STANDARDDEVIATION_20D,MONTHLY_RETURN_PERC,CURRENTRATIO,QUICKRATIO,CASHRATIO,DAYSOFSALESOUTSTANDING,DAYSOFINVENTORYOUTSTANDING,OPERATINGCYCLE,DAYSOFPAYABLESOUTSTANDING,CASHCONVERSIONCYCLE,GROSSPROFITMARGIN,OPERATINGPROFITMARGIN,PRETAXPROFITMARGIN,NETPROFITMARGIN,EFFECTIVETAXRATE,RETURNONASSETS,RETURNONEQUITY,RETURNONCAPITALEMPLOYED,NETINCOMEPEREBT,EBTPEREBIT,EBITPERREVENUE,DEBTRATIO,DEBTEQUITYRATIO,LONGTERMDEBTTOCAPITALIZATION,TOTALDEBTTOCAPITALIZATION,INTERESTCOVERAGE,CASHFLOWTODEBTRATIO,COMPANYEQUITYMULTIPLIER,RECEIVABLESTURNOVER,PAYABLESTURNOVER,INVENTORYTURNOVER,FIXEDASSETTURNOVER,ASSETTURNOVER,OPERATINGCASHFLOWPERSHARE,FREECASHFLOWPERSHARE,CASHPERSHARE,PAYOUTRATIO,OPERATINGCASHFLOWSALESRATIO,FREECASHFLOWOPERATINGCASHFLOWRATIO,CASHFLOWCOVERAGERATIOS,SHORTTERMCOVERAGERATIOS,CAPITALEXPENDITURECOVERAGERATIO,DIVIDENDPAIDANDCAPEXCOVERAGERATIO,DIVIDENDPAYOUTRATIO,PRICEBOOKVALUERATIO,PRICETOBOOKRATIO,PRICETOSALESRATIO,PRICEEARNINGSRATIO,PRICETOFREECASHFLOWSRATIO,PRICETOOPERATINGCASHFLOWSRATIO,PRICECASHFLOWRATIO,PRICEEARNINGSTOGROWTHRATIO,PRICESALESRATIO,DIVIDENDYIELD,ENTERPRISEVALUEMULTIPLE,PRICEFAIRVALUE,TARGET
2023-12-31,FOX,2023-12-29,27.67,27.77,27.49,27.65,27.65,1158621,1158621,-0.02,-0.07228045,27.645,-0.0007228045,27.718,27.712,27.700666667,27.701,27.696296469,27.708971894,27.729045265,27.760305772,27.694666667,27.714,27.708416667,27.692142857,27.676716398,27.685564901,27.654563018,27.626544915,27.657193214,27.707196654,27.698156612,27.675626826,-70.37037037,-65.517241379,-55.555555556,-55.555555556,46.126450434,47.651132888,47.575641912,47.365719311,14.848448884,10.714036916,11.132055326,12.167709015,0.07678541528,0.1306751698,0.2121781222,0.2803907987,-0.04,2.293229026,1.921499865,1.111950364,63.790741615,26.767908309,90.558649925,49.229226361,41.329423564,0.175720359,0.004959848843,0.03094000945,0.02574397733,0.1221374046,0.0047710759,0.01063207179,0.00109723601,0.8320610687,6.238095238,0.004959848843,0.4118882955,0.917869684,0.4410946955,0.4785881396,0.1764705882,-0.05696068013,2.228443231,1.410863046,1.828182294,3.362235067,1.634749035,0.1853278473,-1.112033195,-1.27593361,8.55186722,0.06422018349,-0.1265942371,1.14738806,-0.05696068013,-0.406368461,6.784810127,7.444444444,0.06422018349,1.299970737,1.299970737,3.147685404,30.567201835,-21.670406504,-24.864365672,-24.864365672,-0.422846292,3.147685404,0.00052523767,49.508776596,1.299970737,8.54
2023-12-31,FOX,2023-11-30,27.66,27.84,27.41,27.66,27.66,4057716,4057716,0,0,27.6425,0,27.982,28.176,28.112666667,28.2515,27.89860973,28.045877601,28.105517066,28.147570677,27.841333333,28.054545455,28.109583333,28.144190476,27.702697734,27.894945328,27.978631834,27.989058831,27.614082212,27.772854394,27.922513736,28.015125039,-78.813559322,-82.394366197,-84.756097561,-58.166189112,27.730364545,40.048966912,42.993964273,43.973754202,37.262582381,15.964723833,14.120714766,14.849335039,0.3084412424,0.3143628477,0.3281151559,0.42122767,-0.9,2.293229026,1.921499865,1.111950364,63.790741615,26.767908309,90.558649925,49.229226361,41.329423564,0.175720359,0.004959848843,0.03094000945,0.02574397733,0.1221374046,0.0047710759,0.01063207179,0.00109723601,0.8320610687,6.238095238,0.004959848843,0.4118882955,0.917869684,0.4410946955,0.4785881396,0.1764705882,-0.05696068013,2.228443231,1.410863046,1.828182294,3.362235067,1.634749035,0.1853278473,-1.112033195,-1.27593361,8.55186722,0.06422018349,-0.1265942371,1.14738806,-0.05696068013,-0.406368461,6.784810127,7.444444444,0.06422018349,1.299970737,1.299970737,3.147685404,30.567201835,-21.670406504,-24.864365672,-24.864365672,-0.422846292,3.147685404,0.00052523767,49.508776596,1.299970737,-0.04
2023-12-31,FOX,2023-10-31,27.28,27.98,27.28,27.91,27.91,1212351,1212351,0.63,2.31,27.6125,0.0231,27.502,27.949,28.258,28.278,27.642209797,27.869546694,28.050038889,28.197865004,27.498,27.702545455,27.968416667,28.10952381,27.488077785,27.493619983,27.605573385,27.664525423,27.590265142,27.383704764,27.485152078,27.593272394,-26.495726496,-64.897959184,-66.141732283,-66.141732283,53.071449585,45.453617462,44.039845683,43.610505355,45.905173281,27.762430149,22.734845915,20.218001727,0.3197123707,0.5591860156,0.6677045255,0.6073927889,-3.36,2.293229026,1.921499865,1.111950364,63.790741615,26.767908309,90.558649925,49.229226361,41.329423564,0.175720359,0.004959848843,0.03094000945,0.02574397733,0.1221374046,0.0047710759,0.01063207179,0.00109723601,0.8320610687,6.238095238,0.004959848843,0.4118882955,0.917869684,0.4410946955,0.4785881396,0.1764705882,-0.05696068013,2.228443231,1.410863046,1.828182294,3.362235067,1.634749035,0.1853278473,-1.112033195,-1.27593361,8.55186722,0.06422018349,-0.1265942371,1.14738806,-0.05696068013,-0.406368461,6.784810127,7.444444444,0.06422018349,1.299970737,1.299970737,3.147685404,30.567201835,-21.670406504,-24.864365672,-24.864365672,-0.422846292,3.147685404,0.00052523767,49.508776596,1.299970737,-0.9
2023-09-30,FOX,2023-09-29,28.84,29.17,28.79,28.88,28.88,965816,965816,0.04,0.1387,28.92,0.001387,28.734,28.942,29.066,29.007,28.830013561,28.929675374,29.070371464,29.229725281,28.771333333,28.849272727,28.946833333,28.979666667,28.7806091,28.706989926,28.639040475,28.617625006,28.828768185,28.771284205,28.711643279,28.596990602,-32.673267327,-56.41025641,-61.797752809,-72.357723577,48.770551317,44.719216318,43.633805892,43.507096227,21.569454086,25.77700047,23.191217411,19.147175173,0.1313925416,0.3235676127,0.342827459,0.3312114128,-5.37,2.016996378,1.741153525,1.066870995,67.91393826,34.519918284,102.433856544,-11.675178754,114.109035298,0.389460555,0.06828811974,0.174929841,0.1269098846,0.2602495544,0.01879994457,0.03919491525,0.01212624585,0.7254901961,2.561643836,0.06828811974,0.3331331701,0.6945300462,0.3647375505,0.4098658786,5.214285714,0.0001386577926,2.084842065,1.325206612,-7.708661417,2.607190413,1.905525847,0.1481361726,0.002024291498,-0.1417004049,7.751012146,0.3316953317,0.0003118178983,-70,0.0001386577926,0.0008,-0.01408450704,0.015625,0.3316953317,1.373913713,1.373913713,4.448618647,8.763341523,-203.810285714,14266.72,14266.72,0.7205414141,4.448618647,0.009462581448,25.249957082,1.373913713,-3.36
2023-09-30,FOX,2023-08-31,30.89,31.02,30.44,30.52,30.52,1743925,1743925,-0.37,-1.2,30.7175,-0.012,30.502,30.631,30.987333333,31.235,30.593970862,30.722211146,30.865053576,30.968868222,30.582,30.551454545,30.700333333,30.912047619,30.553277582,30.440264916,30.51781611,30.647416152,30.641432245,30.42777605,30.355019913,30.387531664,-49.019607843,-62.589928058,-80.811808118,-83.950617284,42.662354577,42.053556807,43.435656681,44.815168466,37.385131919,23.202661904,15.984890932,12.703993518,0.2367614834,0.3232166456,0.6382524753,0.7900980952,-2.83,2.016996378,1.741153525,1.066870995,67.91393826,34.519918284,102.433856544,-11.675178754,114.109035298,0.389460555,0.06828811974,0.174929841,0.1269098846,0.2602495544,0.01879994457,0.03919491525,0.01212624585,0.7254901961,2.561643836,0.06828811974,0.3331331701,0.6945300462,0.3647375505,0.4098658786,5.214285714,0.0001386577926,2.084842065,1.325206612,-7.708661417,2.607190413,1.905525847,0.1481361726,0.002024291498,-0.1417004049,7.751012146,0.3316953317,0.0003118178983,-70,0.0001386577926,0.0008,-0.01408450704,0.015625,0.3316953317,1.373913713,1.373913713,4.448618647,8.763341523,-203.810285714,14266.72,14266.72,0.7205414141,4.448618647,0.009462581448,25.249957082,1.373913713,-5.37
2023-09-30,FOX,2023-07-31,31.18,31.7,31.18,31.41,31.14,655779,655779,0.23,0.73765,31.3675,0.0073765,31.142,31.355,31.398,31.53,31.240173797,31.30152303,31.349288538,31.351884032,31.196,31.241636364,31.30925,31.378666667,31.225132315,31.179393342,31.280596197,31.41554847,31.29313498,31.135153404,31.092987765,31.178579276,-35.365853659,-57.6,-64.900662252,-64.900662252,57.548404912,51.431763807,51.965403925,52.509202248,19.29700482,13.971732372,15.001630284,14.126872311,0.1495860956,0.3001083138,0.2808368447,0.3486688974,-1.51,2.016996378,1.741153525,1.066870995,67.91393826,34.519918284,102.433856544,-11.675178754,114.109035298,0.389460555,0.06828811974,0.174929841,0.1269098846,0.2602495544,0.01879994457,0.03919491525,0.01212624585,0.7254901961,2.561643836,0.06828811974,0.3331331701,0.6945300462,0.3647375505,0.4098658786,5.214285714,0.0001386577926,2.084842065,1.325206612,-7.708661417,2.607190413,1.905525847,0.1481361726,0.002024291498,-0.1417004049,7.751012146,0.3316953317,0.0003118178983,-70,0.0001386577926,0.0008,-0.01408450704,0.015625,0.3316953317,1.373913713,1.373913713,4.448618647,8.763341523,-203.810285714,14266.72,14266.72,0.7205414141,4.448618647,0.009462581448,25.249957082,1.373913713,-2.83
2023-06-30,FOX,2023-06-30,32.27,32.36,31.79,31.89,31.62,1023771,1023771,-0.38,-1.18,32.0775,-0.0118,31.862,31.438,31.404,31.2115,31.812472331,31.553757816,31.324267917,31.122985752,31.968666667,31.623272727,31.51125,31.43247619,32.049362865,31.981752765,31.936502678,31.813600684,32.07460051,32.008427336,32.049629629,32.116022372,-27.325581395,-25.13368984,-25.13368984,-15.666666667,63.406922413,64.71519518,62.962463045,60.730984107,46.200936029,31.382763658,23.238579206,17.747142886,0.4060738849,0.5522282137,0.4604606389,0.6182740088,9.17,1.928514483,1.713792187,1.135264417,64.620712401,25.980861244,90.601573645,-7.655502392,98.257076037,0.3796174142,0.2107519789,0.1665567282,0.1236807388,0.2693069307,0.01714991311,0.03613412989,0.0352980169,0.7425742574,0.7902973396,0.2107519789,0.3297356627,0.6947388707,0.3648326091,0.4099385945,18.257142857,0.06837725381,2.106957024,1.392742306,-11.75625,3.464088398,1.775175644,0.1386627641,0.9743083004,0.7371541502,8.442687747,0.02133333333,0.1625989446,0.7565922921,0.06837725381,0.3947157726,-4.108333333,-4.401785714,0.02133333333,1.554860281,1.554860281,5.322011873,10.75756,43.260965147,32.730912779,32.730912779,-0.01235317895,5.322011873,0.0004957753741,25.706657682,1.554860281,-1.51
2023-06-30,FOX,2023-05-31,29.2,29.35,28.89,29.21,28.96,6428398,6428398,0.01,0.03424658,29.1625,0.0003424658,29.064,28.981,28.780666667,28.919,29.123641455,29.036589219,29.072146803,29.168261227,29.163333333,29.052363636,28.93525,28.904857143,29.248288471,29.06507694,28.862243767,28.746509955,29.281247802,29.272716617,29.087598075,28.887150543,-28.971962617,-23.484848485,-19.318181818,-51.202749141,60.408166532,51.316812357,47.937418363,46.705783691,17.290059889,16.218157286,20.308279262,19.260258471,0.2445894519,0.2047657198,0.3500374583,0.4464403656,-4.35,1.928514483,1.713792187,1.135264417,64.620712401,25.980861244,90.601573645,-7.655502392,98.257076037,0.3796174142,0.2107519789,0.1665567282,0.1236807388,0.2693069307,0.01714991311,0.03613412989,0.0352980169,0.7425742574,0.7902973396,0.2107519789,0.3297356627,0.6947388707,0.3648326091,0.4099385945,18.257142857,0.06837725381,2.106957024,1.392742306,-11.75625,3.464088398,1.775175644,0.1386627641,0.9743083004,0.7371541502,8.442687747,0.02133333333,0.1625989446,0.7565922921,0.06837725381,0.3947157726,-4.108333333,-4.401785714,0.02133333333,1.554860281,1.554860281,5.322011873,10.75756,43.260965147,32.730912779,32.730912779,-0.01235317895,5.322011873,0.0004957753741,25.706657682,1.554860281,9.17
2023-06-30,FOX,2023-04-28,30,30.75,30,30.54,30.28,1243832,1243832,0.537,1.8,30.3225,0.018,30.01,30.524,30.722,30.8215,30.266146672,30.419085147,30.543738422,30.63770466,30.122666667,30.300909091,30.486166667,30.608571429,30.190076923,30.151251748,30.249294499,30.314364591,30.312432804,30.064661149,30.135652678,30.207359389,-27.428571429,-39.523809524,-49.603174603,-49.603174603,56.138647665,48.573846088,47.499374317,47.512767247,57.68637408,31.723676617,21.030608599,15.79626591,0.30757113,0.5695823031,0.559716595,0.5266808806,-2.46,1.928514483,1.713792187,1.135264417,64.620712401,25.980861244,90.601573645,-7.655502392,98.257076037,0.3796174142,0.2107519789,0.1665567282,0.1236807388,0.2693069307,0.01714991311,0.03613412989,0.0352980169,0.7425742574,0.7902973396,0.2107519789,0.3297356627,0.6947388707,0.3648326091,0.4099385945,18.257142857,0.06837725381,2.106957024,1.392742306,-11.75625,3.464088398,1.775175644,0.1386627641,0.9743083004,0.7371541502,8.442687747,0.02133333333,0.1625989446,0.7565922921,0.06837725381,0.3947157726,-4.108333333,-4.401785714,0.02133333333,1.554860281,1.554860281,5.322011873,10.75756,43.260965147,32.730912779,32.730912779,-0.01235317895,5.322011873,0.0004957753741,25.706657682,1.554860281,-4.35
2023-03-31,FOX,2023-03-31,31.05,31.33,30.97,31.31,31.04,1149592,1149592,0.26,0.83736,31.165,0.0083736,30.766,30.742,30.499333333,30.7255,30.866561434,30.775839904,30.843444914,30.951997934,30.860666667,30.764909091,30.667916667,30.639047619,31.046690666,30.754004279,30.555944895,30.551347274,31.168217692,31.007011489,30.692967501,30.409602297,-1.587301587,-6.989247312,-6.989247312,-44.372990354,64.275697983,54.7301943,51.784046061,51.052850421,21.944230457,18.43033353,16.509095921,14.512338574,0.4054922934,0.3314453198,0.4516999988,0.6512255754,-2.91,1.754429805,1.564516129,0.9418446161,60.404015671,15.47123191,75.875247581,26.558418637,49.316828943,0.3063173359,0.0009794319295,-0.0124877571,-0.01224289912,0.01960784314,-0.002232541525,-0.004909180167,0.000222296321,0.9803921569,-12.75,0.0009794319295,0.3219324879,0.7079037801,0.3691936083,0.4144869215,0.07272727273,0.2174757282,2.19891998,1.489967165,3.388755981,5.81724846,2.438208955,0.1823539918,3.009596929,2.848368522,7.957773512,-2.72,0.3839373164,0.9464285714,0.2174757282,1.255404323,-18.666666667,30.153846154,-2.72,1.601621011,1.601621011,3.994248286,-81.56255,10.992257412,10.40338648,10.40338648,0.6997970266,3.994248286,0.00833715964,176.150090909,1.601621011,-2.46
